2026-05-28 12:34:35,960 | __main__ | INFO | The program started running
2026-05-28 12:34:35,960 | shape_manager | INFO | Shape_Manager Initializer
2026-05-28 12:34:35,961 | shape_manager | INFO | Shape loaded from JSON
2026-05-28 12:34:35,961 | circle | INFO | Created Circle object with ID: 2
2026-05-28 12:34:35,961 | shape_manager | INFO | Creating new shape: {{'id': 2, 'shape_type': 'circle', 'radius': 3.5}}
2026-05-28 12:34:35,961 | shape_manager | INFO | Shape: {circle} append to the shape list
2026-05-28 12:34:35,962 | shape_manager | INFO | Successfully saved 1 shapes to shapes.json
2026-05-28 12:34:35,962 | rectangle | INFO | Created Rectangle object with ID: 5
2026-05-28 12:34:35,962 | shape_manager | INFO | Creating new shape: {{'id': 5, 'shape_type': 'rectangle', 'width': 10.0, 'height': 15.0}}
2026-05-28 12:34:35,963 | shape_manager | INFO | Shape: {rectangle} append to the shape list
2026-05-28 12:34:35,963 | shape_manager | INFO | Successfully saved 2 shapes to shapes.json
2026-05-28 12:34:35,963 | square | INFO | Created Square object with ID: 6
2026-05-28 12:34:35,964 | shape_manager | INFO | Creating new shape: {{'id': 6, 'shape_type': 'square', 'side': 4.0}}
2026-05-28 12:34:35,964 | shape_manager | INFO | Shape: {square} append to the shape list
2026-05-28 12:34:35,964 | shape_manager | INFO | Successfully saved 3 shapes to shapes.json
2026-05-28 12:34:52,843 | __main__ | INFO | update shape chosen
2026-05-28 12:35:40,219 | __main__ | INFO | The program started running
2026-05-28 12:35:40,219 | shape_manager | INFO | Shape_Manager Initializer
2026-05-28 12:35:40,220 | shape_manager | INFO | Shape loaded from JSON
2026-05-28 12:35:40,220 | circle | INFO | Created Circle object with ID: 2
2026-05-28 12:35:40,220 | shape_manager | INFO | Creating new shape: {{'id': 2, 'shape_type': 'circle', 'radius': 3.5}}
2026-05-28 12:35:40,220 | shape_manager | INFO | Shape: {circle} append to the shape list
2026-05-28 12:35:40,221 | shape_manager | INFO | Successfully saved 1 shapes to shapes.json
2026-05-28 12:35:40,221 | rectangle | INFO | Created Rectangle object with ID: 5
2026-05-28 12:35:40,221 | shape_manager | INFO | Creating new shape: {{'id': 5, 'shape_type': 'rectangle', 'width': 10.0, 'height': 15.0}}
2026-05-28 12:35:40,221 | shape_manager | INFO | Shape: {rectangle} append to the shape list
2026-05-28 12:35:40,221 | shape_manager | INFO | Successfully saved 2 shapes to shapes.json
2026-05-28 12:35:40,222 | square | INFO | Created Square object with ID: 6
2026-05-28 12:35:40,222 | shape_manager | INFO | Creating new shape: {{'id': 6, 'shape_type': 'square', 'side': 4.0}}
2026-05-28 12:35:40,222 | shape_manager | INFO | Shape: {square} append to the shape list
2026-05-28 12:35:40,222 | shape_manager | INFO | Successfully saved 3 shapes to shapes.json
2026-05-28 12:35:43,194 | __main__ | INFO | update shape chosen
2026-05-28 12:37:03,119 | __main__ | INFO | The program started running
2026-05-28 12:37:03,120 | shape_manager | INFO | Shape_Manager Initializer
2026-05-28 12:37:03,121 | shape_manager | INFO | Shape loaded from JSON
2026-05-28 12:37:03,121 | circle | INFO | Created Circle object with ID: 2
2026-05-28 12:37:03,122 | shape_manager | INFO | Creating new shape: {{'id': 2, 'shape_type': 'circle', 'radius': 3.5}}
2026-05-28 12:37:03,123 | shape_manager | INFO | Shape: {circle} append to the shape list
2026-05-28 12:37:03,124 | shape_manager | INFO | Successfully saved 1 shapes to shapes.json
2026-05-28 12:37:03,124 | rectangle | INFO | Created Rectangle object with ID: 5
2026-05-28 12:37:03,124 | shape_manager | INFO | Creating new shape: {{'id': 5, 'shape_type': 'rectangle', 'width': 10.0, 'height': 15.0}}
2026-05-28 12:37:03,124 | shape_manager | INFO | Shape: {rectangle} append to the shape list
2026-05-28 12:37:03,125 | shape_manager | INFO | Successfully saved 2 shapes to shapes.json
2026-05-28 12:37:03,125 | square | INFO | Created Square object with ID: 6
2026-05-28 12:37:03,125 | shape_manager | INFO | Creating new shape: {{'id': 6, 'shape_type': 'square', 'side': 4.0}}
2026-05-28 12:37:03,126 | shape_manager | INFO | Shape: {square} append to the shape list
2026-05-28 12:37:03,127 | shape_manager | INFO | Successfully saved 3 shapes to shapes.json
2026-05-28 12:37:07,865 | __main__ | INFO | update shape chosen
2026-05-28 12:39:08,246 | __main__ | INFO | The program started running
2026-05-28 12:39:08,247 | shape_manager | INFO | Shape_Manager Initializer
